TestName,VertexCount,Runtime(milliseconds),PITC,PITC/VertexCount,UPD,AvgDegree,
StressTests/4000,1275,67,19467,15.2682,303,5.88332,
StressTests/4001,1276,79,19860,15.5643,285,5.95239,
StressTests/4002,1276,142,20324,15.9279,158,6.01963,
StressTests/4003,1275,93,19510,15.302,466,5.92344,
StressTests/4004,1275,78,20253,15.8847,219,6.02122,
StressTests/4005,1275,92,19697,15.4486,305,5.92745,
StressTests/4006,1275,83,19233,15.0847,252,5.82967,
StressTests/4007,1275,116,19760,15.498,233,5.92795,
StressTests/4008,1275,90,20484,16.0659,153,6.04536,
StressTests/4009,1273,114,18023,14.1579,648,5.67322,
StressTests/4010,1274,73,19486,15.2951,320,5.89345,
StressTests/4011,1272,77,20113,15.8121,319,6.02284,
StressTests/4012,1273,95,21181,16.6386,220,6.1926,
StressTests/4013,1272,72,20104,15.805,300,6.01614,
StressTests/4014,1272,89,19713,15.4976,274,5.93592,
StressTests/4015,1272,76,19431,15.2759,383,5.90116,
StressTests/4016,1272,76,19339,15.2036,196,5.84587,
StressTests/4017,1271,55,19437,15.2927,310,5.8913,
StressTests/4018,1270,106,20043,15.7819,333,6.01814,
StressTests/4019,1270,120,19809,15.5976,310,5.96766,
StressTests/4020,1270,83,19332,15.222,311,5.87288,
StressTests/4021,1271,88,19565,15.3934,346,5.92335,
StressTests/4022,1271,76,19615,15.4327,292,5.92488,
StressTests/4023,1271,111,19894,15.6522,343,5.987,
StressTests/4024,1270,79,19601,15.4339,318,5.92767,
StressTests/4025,1268,96,19587,15.4472,232,5.91448,
StressTests/4026,1269,132,19016,14.985,273,5.80426,
StressTests/4027,1269,81,19207,15.1355,402,5.86994,
StressTests/4028,1267,106,19383,15.2983,278,5.88788,
StressTests/4029,1267,100,19489,15.382,293,5.91214,
StressTests/4030,1267,151,18930,14.9408,275,5.7953,
StressTests/4031,1266,89,19357,15.2899,434,5.91513,
StressTests/4032,1267,99,19292,15.2265,483,5.90888,
StressTests/4033,1267,82,19629,15.4925,335,5.94473,
StressTests/4034,1267,76,19458,15.3575,364,5.91915,
StressTests/4035,1267,82,20908,16.502,213,6.15832,
StressTests/4036,1266,66,19613,15.4921,354,5.94937,
StressTests/4037,1264,69,19502,15.4288,375,5.9279,
StressTests/4038,1265,104,20121,15.9059,215,6.01621,
StressTests/4039,1265,91,19356,15.3012,305,5.89291,
StressTests/4040,1264,104,19869,15.7191,310,5.99742,
StressTests/4041,1264,111,19698,15.5839,215,5.94896,
StressTests/4042,1264,104,20079,15.8853,314,6.04059,
StressTests/4043,1264,101,19000,15.0316,584,5.88032,
StressTests/4044,1264,171,19416,15.3608,333,5.91302,
StressTests/4045,1264,106,19248,15.2278,420,5.89697,
StressTests/4046,1263,92,19403,15.3626,392,5.92466,
StressTests/4047,1263,107,19718,15.612,327,5.97443,
StressTests/4048,1262,82,19464,15.4231,304,5.923,
StressTests/4049,1262,103,18937,15.0055,243,5.80825,
StressTests/4050,1262,81,19761,15.6585,232,5.97247,
StressTests/4051,1262,77,19392,15.3661,297,5.90676,
StressTests/4052,1262,104,19802,15.691,210,5.97149,
StressTests/4053,1262,88,19338,15.3233,391,5.91513,
StressTests/4054,1261,79,19694,15.6178,286,5.96373,
StressTests/4055,1261,95,19459,15.4314,373,5.93883,
StressTests/4056,1260,100,19425,15.4167,306,5.92188,
StressTests/4057,1259,126,19763,15.6974,209,5.97817,
StressTests/4058,1259,123,19238,15.2804,368,5.90056,
StressTests/4059,1259,108,19349,15.3685,340,5.91665,
StressTests/4060,1259,69,20847,16.5584,191,6.15102,
StressTests/4061,1259,92,19393,15.4035,188,5.89378,
StressTests/4062,1258,98,19158,15.2289,300,5.87152,
StressTests/4063,1258,115,18787,14.934,276,5.79809,
StressTests/4064,1258,95,19788,15.7297,354,6.00935,
StressTests/4065,1258,108,19544,15.5358,394,5.96776,
StressTests/4066,1258,83,19308,15.3482,357,5.91561,
StressTests/4067,1257,101,19347,15.3914,211,5.89723,
StressTests/4068,1255,273,19121,15.2359,202,5.85552,
StressTests/4069,1255,82,19829,15.8,232,6.00559,
StressTests/4070,1255,70,18870,15.0359,357,5.83735,
StressTests/4071,1254,100,19536,15.5789,229,5.94248,
StressTests/4072,1255,83,19066,15.192,408,5.88625,
StressTests/4073,1254,58,19321,15.4075,319,5.92463,
StressTests/4074,1255,100,20645,16.4502,223,6.13298,
StressTests/4075,1254,105,19682,15.6954,255,5.97787,
StressTests/4076,1254,105,19477,15.5319,448,5.97787,
StressTests/4077,1253,150,19250,15.3631,270,5.90088,
StressTests/4078,1254,92,19083,15.2177,313,5.8733,
StressTests/4079,1254,176,19793,15.7839,227,6.00454,
StressTests/4080,1252,109,18648,14.8946,297,5.78976,
StressTests/4081,1251,80,19021,15.2046,264,5.85894,
StressTests/4082,1252,109,19521,15.5919,308,5.96465,
StressTests/4083,1252,289,18952,15.1374,212,5.8338,
StressTests/4084,1251,94,19619,15.6827,365,5.99481,
StressTests/4085,1251,80,19175,15.3277,470,5.93293,
StressTests/4086,1251,127,18868,15.0823,275,5.83453,
StressTests/4087,1251,132,19230,15.3717,317,5.91078,
StressTests/4088,1251,215,19381,15.4924,316,5.94334,
StressTests/4089,1251,114,19811,15.8361,266,6.01957,
StressTests/4090,1250,82,19208,15.3664,419,5.93052,
StressTests/4091,1250,93,19340,15.472,249,5.9226,
StressTests/4092,1250,99,20390,16.312,292,6.14255,
StressTests/4093,1250,57,20184,16.1472,178,6.07685,
StressTests/4094,1250,95,19214,15.3712,334,5.91568,
StressTests/4095,1249,62,19074,15.2714,295,5.88241,
StressTests/4096,1248,146,19466,15.5978,297,5.9655,
StressTests/4097,1248,73,19434,15.5721,192,5.93814,
StressTests/4098,1248,105,19502,15.6266,233,5.96152,
StressTests/4099,1248,87,19252,15.4263,206,5.90479,
StressTests/4100,1248,70,19011,15.2332,459,5.9065,
StressTests/4101,1248,142,19385,15.5329,360,5.96247,
StressTests/4102,1248,116,19447,15.5825,271,5.9567,
StressTests/4103,1247,85,19352,15.5188,275,5.93964,
StressTests/4104,1246,85,18742,15.0417,440,5.85144,
StressTests/4105,1245,71,18793,15.0948,357,5.85223,
StressTests/4106,1245,143,19272,15.4795,236,5.929,
StressTests/4107,1244,166,19167,15.4076,324,5.92351,
StressTests/4108,1245,91,19475,15.6426,231,5.96183,
StressTests/4109,1245,106,18951,15.2217,305,5.87291,
StressTests/4110,1243,94,19498,15.6862,323,5.99255,
StressTests/4111,1244,111,18651,14.9928,644,5.88464,
StressTests/4112,1244,108,19505,15.6793,302,5.98632,
StressTests/4113,1244,100,18937,15.2227,279,5.86762,
StressTests/4114,1243,132,19494,15.683,279,5.97722,
StressTests/4115,1243,113,19015,15.2977,327,5.89789,
StressTests/4116,1243,90,19312,15.5366,293,5.95023,
StressTests/4117,1243,84,18645,15,239,5.80232,
StressTests/4118,1243,181,19181,15.4312,341,5.93351,
StressTests/4119,1242,113,19131,15.4034,306,5.91989,
StressTests/4120,1242,69,19018,15.3124,264,5.88987,
StressTests/4121,1242,101,19161,15.4275,217,5.9081,
StressTests/4122,1242,232,18579,14.9589,538,5.85501,
StressTests/4123,1241,85,18827,15.1708,364,5.87306,
StressTests/4124,1240,122,18929,15.2653,240,5.87412,
StressTests/4125,1241,78,18543,14.942,305,5.80789,
StressTests/4126,1240,99,19610,15.8145,201,6.00477,
StressTests/4127,1240,102,18718,15.0952,243,5.82927,
StressTests/4128,1241,126,19366,15.6052,273,5.95827,
StressTests/4129,1241,140,19727,15.8961,205,6.00973,
StressTests/4130,1240,94,19196,15.4806,387,5.95658,
StressTests/4131,1240,122,18763,15.1315,406,5.87174,
StressTests/4132,1240,96,19327,15.5863,329,5.96831,
StressTests/4133,1240,179,19591,15.7992,230,6.0016,
StressTests/4134,1240,282,19250,15.5242,355,5.95663,
StressTests/4135,1239,127,19434,15.6852,247,5.98021,
StressTests/4136,1239,50,19465,15.7103,211,5.97717,
StressTests/4137,1239,101,19050,15.3753,299,5.91071,
StressTests/4138,1239,132,19094,15.4108,446,5.94987,
StressTests/4139,1238,114,19195,15.5048,355,5.95509,
StressTests/4140,1238,119,19740,15.9451,321,6.05785,
StressTests/4141,1238,103,18918,15.2811,548,5.93951,
StressTests/4142,1238,101,22310,18.021,171,6.53839,
StressTests/4143,1238,78,18669,15.08,207,5.82216,
StressTests/4144,1237,111,18684,15.1043,289,5.84625,
StressTests/4145,1237,114,19071,15.4171,259,5.91361,
StressTests/4146,1236,108,19079,15.4361,370,5.94103,
StressTests/4147,1236,75,19098,15.4515,304,5.93394,
StressTests/4148,1236,111,18837,15.2403,338,5.88907,
StressTests/4149,1234,100,18775,15.2147,410,5.89385,
StressTests/4150,1235,42,18868,15.2777,372,5.90132,
StressTests/4151,1235,115,18454,14.9425,361,5.81566,
StressTests/4152,1235,100,19256,15.5919,328,5.97161,
StressTests/4153,1235,93,18840,15.2551,523,5.92679,
StressTests/4154,1235,106,19020,15.4008,374,5.9337,
StressTests/4155,1235,105,18904,15.3069,223,5.8811,
StressTests/4156,1234,96,18608,15.0794,398,5.85865,
StressTests/4157,1235,71,18897,15.3012,281,5.88974,
StressTests/4158,1234,134,18952,15.3582,230,5.89389,
StressTests/4159,1234,107,18828,15.2577,339,5.89103,
StressTests/4160,1234,133,19299,15.6394,319,5.98073,
StressTests/4161,1234,69,19296,15.637,298,5.97869,
StressTests/4162,1232,118,18598,15.0958,380,5.8581,
StressTests/4163,1232,129,19092,15.4968,249,5.93092,
StressTests/4164,1233,103,19083,15.4769,343,5.9453,
StressTests/4165,1233,107,18385,14.9108,315,5.79793,
StressTests/4166,1232,93,18738,15.2094,298,5.86473,
StressTests/4167,1233,156,19178,15.5539,338,5.96284,
StressTests/4168,1233,164,19448,15.7729,352,6.02112,
StressTests/4169,1233,178,18893,15.3228,334,5.90555,
StressTests/4170,1232,102,18695,15.1745,335,5.86774,
StressTests/4171,1231,90,18585,15.0975,252,5.8368,
StressTests/4172,1232,94,19358,15.7127,296,5.99512,
StressTests/4173,1231,101,18689,15.182,220,5.84529,
StressTests/4174,1231,96,19161,15.5654,311,5.96218,
StressTests/4175,1231,92,19119,15.5313,336,5.95829,
StressTests/4176,1231,78,18775,15.2518,265,5.87256,
StressTests/4177,1231,272,18973,15.4127,333,5.92798,
StressTests/4178,1230,95,18796,15.2813,261,5.88085,
StressTests/4179,1230,85,18903,15.3683,234,5.8939,
StressTests/4180,1230,345,18711,15.2122,221,5.85575,
StressTests/4181,1230,69,20291,16.4967,165,6.14213,
StressTests/4182,1229,137,19307,15.7095,299,5.99511,
StressTests/4183,1228,90,18976,15.4528,395,5.95085,
StressTests/4184,1229,117,18944,15.4142,230,5.90953,
StressTests/4185,1229,114,18691,15.2083,288,5.86774,
StressTests/4186,1227,83,18705,15.2445,294,5.8751,
StressTests/4187,1228,98,18716,15.241,269,5.87691,
StressTests/4188,1228,123,18556,15.1107,255,5.83893,
StressTests/4189,1227,56,18799,15.3211,282,5.8949,
StressTests/4190,1227,55,19070,15.542,352,5.96408,
StressTests/4191,1227,97,18860,15.3708,307,5.91126,
StressTests/4192,1226,81,18720,15.2692,279,5.88072,
StressTests/4193,1225,286,18825,15.3673,205,5.89244,
StressTests/4194,1225,130,18292,14.9322,290,5.79755,
StressTests/4195,1225,84,18983,15.4963,342,5.95113,
StressTests/4196,1225,88,18494,15.0971,297,5.84243,
StressTests/4197,1225,78,19083,15.578,322,5.96648,
StressTests/4198,1224,78,18664,15.2484,312,5.88318,
StressTests/4199,1223,72,18567,15.1815,257,5.85343,
StressTests/4200,1223,81,17553,14.3524,522,5.70317,
StressTests/4201,1223,95,18522,15.1447,293,5.8515,
StressTests/4202,1223,58,18659,15.2567,291,5.88183,
StressTests/4203,1222,85,18553,15.1825,230,5.8502,
StressTests/4204,1221,63,18821,15.4144,400,5.9376,
