TestName,VertexCount,Runtime(milliseconds),PITC,UPD,AvgDegree
StressTests/100,39020,480485,3043476460,0,0
StressTests/150,26599,232030,1414754782,0,0
StressTests/200,20565,139943,845522173,0,0
StressTests/250,16863,102770,568524933,0,0
StressTests/300,14431,69758,416362443,0,0
StressTests/350,12677,57984,321284157,0,0
StressTests/400,11405,44387,259959777,0,0
StressTests/450,10321,35724,212942483,0,0
StressTests/500,9172,37158,168159460,0,0
StressTests/550,8326,22878,138561315,0,0
StressTests/600,7636,24387,116540460,0,0
StressTests/650,6982,15696,97427239,0,0
StressTests/700,6562,13813,86052939,0,0
StressTests/750,6162,12092,75867212,0,0
StressTests/800,5761,10659,66258693,0,0
StressTests/850,5345,9138,57083597,0,0
StressTests/900,5041,7991,50773066,0,0
StressTests/950,4835,7356,46658025,0,0
StressTests/1000,4598,6547,42256682,0,0
StressTests/1050,4357,8419,37923290,0,0
StressTests/1100,4187,5477,35018128,0,0
StressTests/1150,3992,5006,31824734,0,0
StressTests/1200,3865,4733,29837768,0,0
StressTests/1250,3717,4268,27594974,0,0
StressTests/1300,3580,3978,25596741,0,0
StressTests/1350,3470,3642,24039617,0,0
StressTests/1400,3342,3471,22307297,0,0
StressTests/1450,3250,3299,21090794,0,0
StressTests/1500,3158,3188,19912370,0,0
StressTests/1550,3083,4020,18978930,0,0
StressTests/1600,2988,2715,17826420,0,0
StressTests/1650,2901,2588,16783753,0,0
StressTests/1700,2808,2448,15741655,0,0
StressTests/1750,2743,2373,15017602,0,0
StressTests/1800,2681,2261,14347537,0,0
StressTests/1850,2595,2077,13439869,0,0
StressTests/1900,2529,1978,12753600,0,0
StressTests/1950,2464,1920,12115995,0,0
StressTests/2000,2409,1827,11582313,0,0
StressTests/2050,2362,1726,11129637,0,0
StressTests/2100,2309,1672,10640044,0,0
StressTests/2150,2253,1588,10094633,0,0
StressTests/2200,2205,1541,9702010,0,0
StressTests/2250,2154,1474,9256653,0,0
StressTests/2300,2112,1417,8899699,0,0
StressTests/2350,2074,1327,8582151,0,0
StressTests/2400,2029,1274,8212796,0,0
StressTests/2450,1998,1387,7964040,0,0
StressTests/2500,1964,1200,7694964,0,0
StressTests/2550,1939,1167,7498017,0,0
StressTests/2600,1912,1125,7292362,0,0
StressTests/2650,1873,1110,6997525,0,0
StressTests/2700,1842,1055,6767354,0,0
StressTests/2750,1816,1028,6577312,0,0
StressTests/2800,1790,989,6390199,0,0
StressTests/2850,1760,964,6177481,0,0
StressTests/2900,1736,944,5999688,0,0
StressTests/2950,1712,898,5844510,0,0
StressTests/3000,1684,880,5654569,0,0
StressTests/3050,1658,845,5479607,0,0
StressTests/3100,1633,845,5308877,0,0
StressTests/3150,1602,801,5117149,0,0
StressTests/3200,1572,778,4925845,0,0
StressTests/3250,1550,786,4789284,0,0
StressTests/3300,1527,728,4648614,0,0
StressTests/3350,1506,730,4521093,0,0
StressTests/3400,1487,697,4406913,0,0
StressTests/3450,1468,699,4290628,0,0
StressTests/3500,1450,682,4190053,0,0
StressTests/3550,1429,640,4070127,0,0
StressTests/3600,1411,631,3962346,0,0
StressTests/3650,1394,618,3872544,0,0
StressTests/3700,1375,588,3767286,0,0
StressTests/3750,1362,794,3696480,0,0
StressTests/3800,1340,580,3577804,0,0
StressTests/3850,1320,585,3471711,0,0
StressTests/3900,1306,536,3398280,0,0
StressTests/3950,1289,526,3309531,0,0
StressTests/4000,1275,508,3238512,0,0
StressTests/4050,1262,515,3168879,0,0
StressTests/4100,1248,484,3102533,0,0
StressTests/4150,1235,484,3037827,0,0
StressTests/4200,1223,479,2979239,0,0
StressTests/4250,1210,473,2916147,0,0
StressTests/4300,1197,474,2853667,0,0
StressTests/4350,1187,460,2806080,0,0
StressTests/4400,1174,455,2743670,0,0
StressTests/4450,1164,454,2697992,0,0
StressTests/4500,1152,444,2642700,0,0
StressTests/4550,1142,431,2596924,0,0
StressTests/4600,1131,422,2547017,0,0
StressTests/4650,1120,402,2497581,0,0
StressTests/4700,1106,385,2435388,0,0
StressTests/4750,1094,375,2382726,0,0
StressTests/4800,1084,367,2339140,0,0
StressTests/4850,1073,386,2291915,0,0
StressTests/4900,1062,366,2244982,0,0
StressTests/4950,1052,347,2202900,0,0
StressTests/5000,1042,339,2160985,0,0
StressTests/5050,1034,336,2127618,0,0
StressTests/5100,1025,323,2089692,0,0
StressTests/5150,1015,322,2045037,0,0
StressTests/5200,1006,321,2013571,0,0
